timestamp,lj_valve_state,lj_pump_state,temp0,temp1
2026-03-15T00:00:02.163722,0,0,54.06,64.5
2026-03-15T00:00:05.230607,0,0,54.06,64.5
2026-03-15T00:00:08.297545,0,0,54.13,64.37
2026-03-15T00:00:11.364534,0,0,54.13,64.5
2026-03-15T00:00:14.432403,0,0,54.06,64.5
2026-03-15T00:00:17.500263,0,0,54.06,64.5
2026-03-15T00:00:20.567153,0,0,54.13,64.5
2026-03-15T00:00:23.635130,0,0,54.13,64.5
2026-03-15T00:00:26.701274,0,0,54.13,64.5
2026-03-15T00:00:29.770003,0,0,54.13,64.5
2026-03-15T00:00:32.837002,0,0,54.13,64.5
2026-03-15T00:00:35.904873,0,0,54.13,64.5
2026-03-15T00:00:38.971979,0,0,54.13,64.5
2026-03-15T00:00:42.039942,0,0,54.13,64.5
2026-03-15T00:00:45.106627,0,0,54.13,64.5
2026-03-15T00:00:48.174606,0,0,54.19,64.37
2026-03-15T00:00:51.241561,0,0,54.13,64.5
2026-03-15T00:00:54.309482,0,0,54.19,64.37
2026-03-15T00:00:57.376474,0,0,54.13,64.5
2026-03-15T00:01:00.444349,0,0,54.13,64.5
2026-03-15T00:01:03.511312,0,0,54.13,64.5
2026-03-15T00:01:06.579147,0,0,54.13,64.37
2026-03-15T00:01:09.279082,0,0,54.13,64.5
2026-03-15T00:01:12.345124,0,0,54.13,64.5
2026-03-15T00:01:15.413985,0,0,54.13,64.5
2026-03-15T00:01:18.480926,0,0,54.19,64.5
2026-03-15T00:01:21.548893,0,0,54.13,64.37
2026-03-15T00:01:24.615783,0,0,54.19,64.5
2026-03-15T00:01:27.682693,0,0,54.13,64.37
2026-03-15T00:01:30.750635,0,0,54.19,64.5
2026-03-15T00:01:33.818581,0,0,54.19,64.5
2026-03-15T00:01:36.885552,0,0,54.19,64.37
2026-03-15T00:01:39.469482,0,0,54.19,64.5
2026-03-15T00:01:42.536475,0,0,54.13,64.5
2026-03-15T00:01:45.604367,0,0,54.19,64.5
2026-03-15T00:01:48.671244,0,0,54.19,64.5
2026-03-15T00:01:51.737097,0,0,54.13,64.5
2026-03-15T00:01:54.806082,0,0,54.13,64.37
2026-03-15T00:01:57.874075,0,0,54.19,64.5
2026-03-15T00:02:00.941010,0,0,54.13,64.5
2026-03-15T00:02:04.008985,0,0,54.19,64.37
2026-03-15T00:02:07.075843,0,0,54.19,64.5
2026-03-15T00:02:10.143832,0,0,54.19,64.5
2026-03-15T00:02:13.209757,0,0,54.13,64.5
2026-03-15T00:02:16.278625,0,0,54.19,64.5
2026-03-15T00:02:19.345776,0,0,54.19,64.5
2026-03-15T00:02:22.413764,0,0,54.19,64.5
2026-03-15T00:02:25.480494,0,0,54.13,64.5
2026-03-15T00:02:28.549334,0,0,54.13,64.37
2026-03-15T00:02:31.614317,0,0,54.19,64.5
2026-03-15T00:02:34.683308,0,0,54.19,64.5
2026-03-15T00:02:37.750182,0,0,54.13,64.5
2026-03-15T00:02:40.818089,0,0,54.13,64.5
2026-03-15T00:02:43.885048,0,0,54.19,64.37
2026-03-15T00:02:46.953068,0,0,54.19,64.37
2026-03-15T00:02:50.018806,0,0,54.19,64.5
2026-03-15T00:02:53.087848,0,0,54.19,64.5
2026-03-15T00:02:56.154768,0,0,54.19,64.5
2026-03-15T00:02:59.222726,0,0,54.13,64.37
