exit out, exit in, input out, input in
64.125000, 80.687500, 62.812500, 24.0
64.062500, 80.687500, 62.812500, 24.0
64.125000, 80.687500, 62.750000, 24.0
64.125000, 80.687500, 62.687500, 24.0
64.125000, 80.625000, 62.687500, 24.0
64.125000, 80.625000, 62.687500, 24.0
64.062500, 80.625000, 62.625000, 24.0
64.062500, 80.625000, 62.625000, 24.0
64.062500, 80.625000, 62.625000, 24.0
64.062500, 80.625000, 62.625000, 24.0
64.062500, 80.625000, 62.562500, 24.0
64.000000, 80.625000, 62.562500, 24.0
64.000000, 80.562500, 62.562500, 24.0
64.000000, 80.562500, 62.562500, 24.0
64.000000, 80.625000, 62.500000, 24.0
64.000000, 80.625000, 62.500000, 24.0
64.062500, 80.625000, 62.437500, 24.0
64.000000, 80.625000, 62.437500, 24.0
64.062500, 80.625000, 62.437500, 24.0
64.062500, 80.687500, 62.437500, 24.0
64.125000, 80.625000, 62.375000, 24.0
64.187500, 80.625000, 62.375000, 24.0
64.250000, 80.625000, 62.312500, 24.0
64.312500, 80.625000, 62.250000, 24.0
64.312500, 80.625000, 62.250000, 24.0
64.312500, 80.625000, 62.250000, 24.0
64.375000, 80.625000, 62.187500, 24.0
64.375000, 80.687500, 62.187500, 24.0
64.375000, 80.625000, 62.125000, 24.0
64.437500, 80.625000, 62.062500, 24.0
64.437500, 80.687500, 62.062500, 24.0
64.375000, 80.625000, 62.062500, 24.0
64.312500, 80.687500, 62.000000, 24.0
64.250000, 80.687500, 62.062500, 24.0
64.187500, 80.625000, 62.062500, 24.0
64.062500, 80.687500, 62.062500, 24.0
64.062500, 80.687500, 62.125000, 24.0
64.000000, 80.687500, 62.125000, 24.0
63.937500, 80.687500, 62.187500, 24.0
63.937500, 80.625000, 62.187500, 24.0
63.875000, 80.687500, 62.187500, 24.0
63.875000, 80.687500, 62.250000, 24.0
63.875000, 80.625000, 62.250000, 24.0
63.812500, 80.625000, 62.250000, 24.0
63.812500, 80.625000, 62.250000, 24.0
63.812500, 80.562500, 62.250000, 24.0
63.812500, 80.562500, 62.312500, 24.0
63.812500, 80.562500, 62.250000, 24.0
63.750000, 80.562500, 62.250000, 24.0
63.750000, 80.562500, 62.250000, 24.0
63.750000, 80.562500, 62.187500, 24.0
63.750000, 80.562500, 62.187500, 24.0
63.750000, 80.562500, 62.125000, 24.0
63.687500, 80.562500, 62.125000, 24.0
63.687500, 80.562500, 62.062500, 24.0
63.687500, 80.562500, 62.062500, 24.0
63.687500, 80.562500, 62.000000, 24.0
63.687500, 80.500000, 62.000000, 24.0
63.687500, 80.500000, 61.937500, 24.0
63.687500, 80.500000, 61.937500, 24.0
63.687500, 80.500000, 61.875000, 24.0
63.687500, 80.500000, 61.875000, 24.0
63.750000, 80.500000, 61.812500, 24.0
63.750000, 80.500000, 61.812500, 24.0
63.750000, 80.500000, 61.750000, 24.0
63.750000, 80.500000, 61.687500, 24.0
63.750000, 80.500000, 61.687500, 24.0
63.750000, 80.500000, 61.687500, 24.0
63.750000, 80.500000, 61.687500, 24.0
63.812500, 80.500000, 61.625000, 24.0
63.875000, 80.562500, 61.625000, 24.0
63.875000, 80.500000, 61.625000, 24.0
63.875000, 80.562500, 61.625000, 24.0
63.875000, 80.562500, 61.625000, 24.0
63.875000, 80.562500, 61.625000, 24.0
63.875000, 80.500000, 61.625000, 24.0
63.937500, 80.562500, 61.562500, 24.0
63.937500, 80.562500, 61.562500, 24.0
63.937500, 80.500000, 61.562500, 24.0
